isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
713 Propta,Randar,Control 4,856.201,23.386,0,0,23.386,0,2.73%,2.73%,,,
713 Propta,Randar,Control 5,1004.611,16.829,20.23,0,37.059,0,3.69%,3.69%,,,
713 Propta,Tri2pa,1,1280.004,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,2,2289.999,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,3,1990.916,0,0,0,0,0,0.00%,0.00%,tip dried out,,yes
713 Propta,Tri2pa,4,2289.069,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,5,2482.531,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,Control 1,557.485,0,0,0,0,0,0.00%,0.00%,slightly dried out,,yes
713 Propta,Tri2pa,Control 2,1017.496,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,Control 3,1757.306,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,Control 4,1527.092,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Tri2pa,Control 5,2366.58,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Aspicr,1,4086.147,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Aspicr,2,5429.117,29.232,34.734,19.89,83.856,0,1.54%,1.54%,,,
1217 Anacex,Aspicr,3,4075.786,0,0,3708.799,3708.799,0,91.00%,91.00%,This one is weird it is discolored unsure if it is infected,I played with the contrast and it looks like most of this leaf has tissue damage. I'm only marking one area as the total lesion because they are blended together. ,
1217 Anacex,Aspicr,4,3082.796,0,0,0,0,0,0.00%,0.00%,Unsure what the white stuff is didn't measure as infection but if it is I can add it,"I agree. It's unclear what the origin is (the white stuff is fungal mycelium), and where it is located on the leaf. I played with contrast and couldn't see anything distinctive.",
1217 Anacex,Aspicr,5,6520.352,0,0,0,3866.316,0,59.30%,59.30%,This one is weird it is discolored unsure if it is infected,There is something going on here. It's pretty cool- when you play with the contrast you can see textural differences on the leaf. ,
1217 Anacex,Aspicr,Control 1,3905.547,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Aspicr,Control 2,5084.102,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Aspicr,Control 3,2904.368,0,0,0,0,0,0.00%,0.00%,,,yes
1217 Anacex,Aspicr,Control 4,3805.921,0,0,0,0,0,0.00%,0.00%,,,yes
