"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control","delete","cntrls","difference"
"96","randar","5",2135.19,2130.697,0,0,2130.697,"0",2130.697,0.997895737615856,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.997895737615856
"97","tri2pa","1",3782.431,71.457,281.792,85.826,439.075,"0",439.075,0.116082752071353,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.116082752071353
"98","tri2pa","2",3315.802,62.633,35.718,57.959,156.31,"0",156.31,0.0471409330231419,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0471409330231419
"99","tri2pa","3",3038.598,83.572,0,0,83.572,"0",83.572,0.0275034736414623,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0275034736414623
"100","tri2pa","4",4673.925,0,0,0,0,"",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"101","tri2pa","5",3790.295,506.626,0,0,506.626,"",506.626,0.133664002406145,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.133664002406145
"102","aspicr","1",3441.619,2982.122,0,0,2982.122,"0",2982.122,0.866488126663643,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.866488126663643
"103","aspicr","2",4025.017,0,0,0,0,"4025.017",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0.891258744685688,-0.891258744685688
"104","aspicr","3",3028.268,2412.539,0,0,2412.539,"0",2412.539,0.796672883641738,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.796672883641738
"105","aspicr","4",4464.615,164.296,323.789,655.057,1143.142,"0",1143.142,0.256044922126544,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.256044922126544
"106","aspicr","5",3667.107,0,0,0,0,"100",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0.485363825095148,-0.485363825095148
"107","castel","1",3317.801,287.138,0,0,287.138,"495.05",287.138,0.0865446722090927,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.0865446722090927
"108","castel","2",2966.227,0,0,0,0,"2966.227",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"109","castel","3",3415.299,0,0,0,0,"22.456",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"110","castel","4",6528.093,0,0,0,0,"176.826",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"111","castel","5",4200.684,2403.019,0,0,2403.019,"0",2403.019,0.572054217836905,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.572054217836905
"112","dendar","1",5133.293,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"113","dendar","2",6108.149,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"114","dendar","3",8669.353,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"115","dendar","4",3608.61,29.535,36.81,0,66.345,"0",66.345,0.01838519540765,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0,0.01838519540765
"116","dendar","5",5271.567,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"117","mourmy","1",447.902,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"118","mourmy","2",160.562,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"119","mourmy","3",577.723,16.968,0,0,16.968,"0",16.968,0.0293704768548249,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0.00880709532166501,0.0205633815331599
"120","mourmy","4",495.412,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"121","mourmy","5",314.447,6.933,0,0,6.933,"0",6.933,0.0220482307034254,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live","Control",0.0419734981406798,-0.0199252674372544
"122","ormoma","1",2987.23,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"123","ormoma","2",2996.166,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"124","ormoma","3",4898.969,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
"125","ormoma","4",7277.135,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live","Control",0,0
