"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control"
"129","randar","Control 4",856.201,23.386,0,0,23.386,"0",23.386,0.0273136798485402,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"130","randar","Control 5",1004.611,16.829,20.23,0,37.059,"0",37.059,0.036888905257856,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"131","tri2pa","1",1280.004,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live"
"132","tri2pa","2",2289.999,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live"
"133","tri2pa","3",1990.916,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live"
"134","tri2pa","4",2289.069,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live"
"135","tri2pa","5",2482.531,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"live"
"136","tri2pa","Control 1",557.485,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"137","tri2pa","Control 2",1017.496,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"138","tri2pa","Control 3",1757.306,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"139","tri2pa","Control 4",1527.092,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"140","tri2pa","Control 5",2366.58,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"141","aspicr","1",4086.147,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"142","aspicr","2",5429.117,29.232,34.734,19.89,83.856,"0",83.856,0.0154456056113729,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
